run_date,suite,policy,trim_power,cases,total_score,selection_role
2026-08-11,tuning,admission-srf,true,12,149.99720026695638,selected
2026-08-11,tuning,completion,true,12,139.99677523715755,comparison
2026-08-11,tuning,srf,true,12,129.99607463480851,comparison
2026-08-11,tuning,admission-slack,true,12,107.99649933110703,comparison
2026-08-11,tuning,edf,true,12,80.99562978212222,comparison
2026-08-11,tuning,fifo,true,12,37.99534386341454,comparison
2026-08-11,tuning,slack,true,12,-0.00492,comparison
2026-08-11,heldout,admission-srf,true,12,194.99538234018803,confirmed
2026-08-11,heldout,completion,true,12,186.99447485564335,comparison
2026-08-11,heldout,srf,true,12,164.99315683937468,comparison
2026-08-11,heldout,admission-slack,true,12,149.99388035311455,comparison
2026-08-11,heldout,edf,true,12,115.99264277153442,comparison
2026-08-11,heldout,fifo,true,12,51.99196332188392,comparison
2026-08-11,heldout,slack,true,12,4.991512065988865,comparison
2026-08-11,stress,admission-srf,true,4,434.94693901026221,confirmed
2026-08-11,stress,completion,true,4,415.93927619496748,comparison
2026-08-11,stress,srf,true,4,226.94015765855681,comparison
